"case_id","contributor","case_study","uncertainty","interdependency","multi_levels","volatility","overlaps","startyear_event","hazard","case_spatial_level","international_region","country","highlight","hazard_group","score_median","score_mean","score_sum","iso3c","continent","lon","lat","reference_url"
31,"Leonardo Olivetti","January 2024 snowstorm in Western Sweden (E22)",3,5,5,3,4,2024,"storm","subnational",NA,NA,FALSE,"Flood or storm",4,4,20,"SWE","Europe",13.7371,55.8291,"https://www.nytimes.com/2024/01/04/world/europe/snow-storm-sweden-road.html; https://www.lansstyrelsen.se/skane/om-oss/nyheter-och-press/nyheter---skane/2024-03-26-oberoende-utvardering-klar-om-trafikstoppet-pa-e22.html"
32,"Magnus Johansson","Data sources on small-scale disaster losses and response – A Swedish case study of extreme rainfalls 2000–2012",2,5,5,3,4,NA,"flood","subnational",NA,"Sweden",FALSE,"Flood or storm",4,3.8,19,"SWE","Europe",17.999,59.3149,"https://doi.org/10.1016/j.ijdrr.2014.12.004"
33,"Lars Nyberg","Water regulation and flood risk reduction in Lake Vänern",3,5,5,2,3,NA,"flood","subnational",NA,"Sweden",FALSE,"Flood or storm",3,3.6,18,"SWE","Europe",13.7381,58.7995,"https://doi.org/10.1080/14634988.2014.975094"
34,"Erik Persson; Mikael Granberg","Crisis management and dam failure risk reduction (Värmland)",4,5,4,3,4,NA,"flood","subnational",NA,"Sweden",FALSE,"Flood or storm",4,4,20,"SWE","Europe",13.1563,59.7627,"https://doi.org/10.1080/13669877.2020.1863845"
35,"Mikael Granberg; Lars Nyberg","City redevelopment and flood risks (Karlstad)",2,5,4,2,4,NA,"flood","subnational",NA,"Sweden",FALSE,"Flood or storm",4,3.4,17,"SWE","Europe",13.6142,59.4608,"https://doi.org/10.1057/rm.2015.21; Granberg & Nyberg (2018) “Climate change adaptation, city competitiveness and urban planning in the city of Karlstad, Sweden, in Moloney, Susie, Fünfgeld, Hartmut and Granberg, Mikael (eds.) Local Action on Climate Change. London: Routledge, pp. 111-125"
36,"Mathilde de Goër de Herve","2021 Floods in the Vesdre river basin, Belgium",1,5,4,4,4,2021,"flood","subnational",NA,"Belgium",FALSE,"Flood or storm",4,3.6,18,"BEL","Europe",5.7381,50.519,"https://doi.org/10.1186/s12302-024-00928-3 "
37,"Beatrice Hedelin","Flood risk management, the case of the Ljusnan River group",3,5,3,1,5,NA,"flood","subantional",NA,"Sweden",FALSE,"Flood or storm",3,3.4,17,"SWE","Europe",16.3013,61.4338,"https://doi.org/10.1080/19390459.2014.977539"
38,"Sara Lindersson","Hurricane Sandy in the Caribbean and continental North America",5,4,4,2,3,2012,"storm","multi-national","Carribean, continental North America","Bahamas; Canada; Cuba; Dominican Republic; Haiti; Jamaica; Puerto Rico; USA",FALSE,"Flood or storm",4,3.6,18,"HTI","Americas",-71.9817,19.0095,"https://doi.org/10.1108/DPM-05-2014-0082; https://doi.org/10.1175/BAMS-D-15-00042.1"
39,"Charles Parker","Hurricane Katrina (USA), 2005",3,4,4,4,3,2005,"storm","subnational",NA,"USA",FALSE,"Flood or storm",4,3.6,18,"USA","Americas",-89.9313,30.0692,"https://doi.org/10.1111/j.1468-5973.2009.00588.x"
40,"Sara Bondesson","Hurricane Sandy in New York City 2012",3,4,3,5,3,2012,"storm","subnational",NA,"USA",TRUE,"Flood or storm",3,3.6,18,"USA","Americas",-73.9691,40.7826,"https://doi.org/10.4324/9781003005278"
41,"Daniel Nohrstedt; Charles Parker","Vietnam floods 2011-2016",3,4,2,1,3,2011,"flood","national",NA,"Vietnam",FALSE,"Flood or storm",3,2.6,13,"VNM","Asia",105.1827,10.5111,"https://doi.org/10.1080/14494035.2020.1767337"
42,"Giuliano Di Baldassarre","Floods in the Kissimmee River in Florida (USA)",4,3,5,3,4,NA,"flood","subnational",NA,"USA",FALSE,"Flood or storm",4,3.8,19,"USA","Americas",-81.3454,27.7678,"https://doi.org/10.1080/02626667.2022.2114836"
43,"Giuliano Di Baldassarre","Flood mapping in the Po river basin (Italy)",5,3,3,4,3,NA,"flood","subnational",NA,"Italy",TRUE,"Flood or storm",3,3.6,18,"ITA","Europe",10.4336,45.1669,"https://doi.org/10.2166/nh.2011.086"
44,"Lina M Eriksson","The 2005 Storm Gudrun",1,3,3,1,2,2005,"storm","subnational",NA,"Sweden",FALSE,"Flood or storm",2,2,10,"SWE","Europe",14.434,57.4991,"https://doi.org/10.1016/j.electstud.2015.12.003"
45,"Anna Rutgersson; Kevin Dubois","Compound sea-level/river flooding in Halmstad, Sweden",5,3,1,1,1,NA,"flood","subnational",NA,"Sweden",FALSE,"Flood or storm",1,2.2,11,"SWE","Europe",12.9871,56.7429,"https://doi.org/10.5194/nhess-24-3245-2024"
46,"Gabriele Messori","Windstorm Ciara (Sabine) Feb 2020",5,3,1,1,1,2020,"storm","multi-national","Western Europe",NA,FALSE,"Flood or storm",1,2.2,11,"GBR","Europe",-0.1026,51.4973,"https://doi.org/10.1016/j.wace.2024.100661"
47,"Jeanne Fernandez","Thailand flood 2011",1,1,5,1,2,2011,"flood","national",NA,"Thailand",FALSE,"Flood or storm",1,2,10,"THA","Asia",102.5804,16.4066,"https://doi.org/10.1108/DPM-02-2017-0048"
48,"Emma Holmberg","Atmospheric river/ floods (Eastern Australia), 2022",5,1,3,2,2,2022,"flood","subnational",NA,"Australia",FALSE,"Flood or storm",2,2.6,13,"AUS","Oceania",147.0171,-32.1594,"https://doi.org/10.1002/esp.5647; https://www.nsw.gov.au/sites/default/files/noindex/2022-08/VOLUME_ONE_Summary.pdf"
49,"Stefan Döring","Repeated drought/wildfire in Cyprus",2,5,5,3,4,NA,"multi-hazard","national",NA,"Cyprus",FALSE,"Multi-hazard",4,3.8,19,"CYP","Asia",33.4299,35.1734,"https://doi.org/10.1016/j.indic.2020.100070; Hadjimichael, Maria & Klitos Papastylianou (2019) Environmental protection and cooperation in an (ethnically) divided island: The case of Cyprus. PRIO Cyprus Centre Report: 6. Nicosia: PRIO Cyprus Centre"
50,"Sara Lindersson; Giuliano Di Baldassarre","The 2018/19 compound drought and heatwave in Germany",5,5,5,2,3,2018,"multi-hazard","national",NA,"Germany",FALSE,"Multi-hazard",5,4,20,"DEU","Europe",13.402,52.5015,"https://doi.org/10.1016/j.scitotenv.2021.146236"
51,"Kenny Turesson","Nordic region, climate risks and social vulnerability",5,5,4,5,5,NA,"multi-hazard","multi-national","Nordic (Sweden, Norway, Denmark, Finland, Iceland)","Sweden",FALSE,"Multi-hazard",5,4.8,24,"NOR","Europe",10.7385,59.9791,"https://doi.org/10.1016/j.ijdrr.2023.104190"
52,"Johanna Mård","Floods and droughts, Limpopo, Mozambique",4,5,4,4,4,2013,"multi-hazard","subnational",NA,"Mozambique",FALSE,"Multi-hazard",4,4.2,21,"MOZ","Africa",33.8006,-22.002,"https://doi.org/10.1504/IJGW.2013.057291"
53,"Johanna Mård","The Arctic",4,5,4,4,4,NA,"multi-hazard","multi-national","The Arctic",NA,FALSE,"Multi-hazard",4,4.2,21,"GRL","Americas",-34.6166,76.8934,"https://doi.org/10.1016/j.earscirev.2020.103324"
54,"Jenni Koivisto","Disaster risk management in Mozambique",3,4,5,3,5,2013,"multi-hazard","national",NA,"Mozambique",TRUE,"Multi-hazard",4,4,20,"MOZ","Africa",32.587,-25.9053,"https://doi.org/10.1080/17477891.2016.1218820"
55,"Valentin Troll; Frances Deegan","2018 Anak Krakatau volcano collapse and tsunami",4,4,4,3,4,2018,"multi-hazard","subnational",NA,"Indonesia",FALSE,"Multi-hazard",4,3.8,19,"IDN","Asia",105.4234,-6.1219,"https://doi.org/10.1038/s41467-019-12284-5"
56,"Venugopal Thallam","Uncertainty on meteorological extremes of Atmospheric Rivers",5,4,1,2,3,NA,"multi-hazard","multi-national","Euro-Atlantic region",NA,FALSE,"Multi-hazard",3,3,15,"GBR","Europe",-6.8676,57.9123,"https://doi.org/10.21203/rs.3.rs-4412959/v1"
57,"Johanna Mård","The 2011 Brisbane flooding",4,3,3,5,3,2011,"multi-hazard","subnational",NA,"Australia",FALSE,"Multi-hazard",3,3.6,18,"AUS","Oceania",153.0389,-27.4378,"https://doi.org/10.3390/w3041149"
58,"Stefan Döring","Drought experiences of refugees in Turkey",2,3,1,4,3,NA,"multi-hazard","national",NA,"Turkey",FALSE,"Multi-hazard",3,2.6,13,"TUR","Asia",40.8991,37.3674,"https://doi.org/10.1038/s41558-023-01732-2"
